Comment,Designator,Footprint,LCSC
WS2812B,D1002,LED_WS2812B_edited,
WS2812B,D1045,LED_WS2812B_edited,
WS2812B,D1086,LED_WS2812B_edited,
WS2812B,D1056,LED_WS2812B_edited,
WS2812B,D1016,LED_WS2812B_edited,
WS2812B,D1028,LED_WS2812B_edited,
WS2812B,D1021,LED_WS2812B_edited,
WS2812B,D1102,WS2812-mini,
MountingHole,H1007,MountingHole_3.2mm_M3,
WS2812B,D1051,LED_WS2812B_edited,
WS2812B,D1089,LED_WS2812B_edited,
WS2812B,D1057,LED_WS2812B_edited,
WS2812B,D1106,WS2812-mini,
WS2812B,D1020,LED_WS2812B_edited,
Conn_02x03_Odd_Even,J401,2x03_P1.27mm_conn,
WS2812B,D1038,LED_WS2812B_edited,
WS2812B,D1080,LED_WS2812B_edited,
WS2812B,D1100,WS2812-mini,
Conn_02x03_Odd_Even,J403,2x03_P1.27mm_conn,
MountingHole,H1002,MountingHole_3.2mm_M3,
WS2812B,D1081,LED_WS2812B_edited,
WS2812B,D1066,LED_WS2812B_edited,
WS2812B,D1040,LED_WS2812B_edited,
WS2812B,D1085,LED_WS2812B_edited,
WS2812B,D1043,LED_WS2812B_edited,
WS2812B,D1037,LED_WS2812B_edited,
WS2812B,D1017,LED_WS2812B_edited,
WS2812B,D1067,LED_WS2812B_edited,
MountingHole,H1008,MountingHole_3.2mm_M3,
WS2812B,D1072,LED_WS2812B_edited,
WS2812B,D1041,LED_WS2812B_edited,
WS2812B,D1074,LED_WS2812B_edited,
Conn_01x01,J302,PinHeader_1x01,
WS2812B,D1009,LED_WS2812B_edited,
WS2812B,D1033,LED_WS2812B_edited,
WS2812B,D1046,LED_WS2812B_edited,
WS2812B,D1052,LED_WS2812B_edited,
WS2812B,D1061,LED_WS2812B_edited,
WS2812B,D1062,LED_WS2812B_edited,
WS2812B,D1070,LED_WS2812B_edited,
WS2812B,D1073,LED_WS2812B_edited,
Conn_01x01,J301,PinHeader_1x01,
WS2812B,D1068,LED_WS2812B_edited,
WS2812B,D1048,LED_WS2812B_edited,
WS2812B,D1022,LED_WS2812B_edited,
WS2812B,D1031,LED_WS2812B_edited,
WS2812B,D1087,LED_WS2812B_edited,
WS2812B,D1060,LED_WS2812B_edited,
WS2812B,D1055,LED_WS2812B_edited,
WS2812B,D1024,LED_WS2812B_edited,
WS2812B,D1091,LED_WS2812B_edited,
WS2812B,D1079,LED_WS2812B_edited,
WS2812B,D1069,LED_WS2812B_edited,
WS2812B,D1095,LED_WS2812B_edited,
WS2812B,D1047,LED_WS2812B_edited,
WS2812B,D1027,LED_WS2812B_edited,
WS2812B,D1097,WS2812-mini,
WS2812B,D1090,LED_WS2812B_edited,
WS2812B,D1094,LED_WS2812B_edited,
WS2812B,D1010,LED_WS2812B_edited,
WS2812B,D1103,WS2812-mini,
WS2812B,D1008,LED_WS2812B_edited,
WS2812B,D1035,LED_WS2812B_edited,
WS2812B,D1012,LED_WS2812B_edited,
WS2812B,D1101,WS2812-mini,
WS2812B,D1065,LED_WS2812B_edited,
WS2812B,D1105,WS2812-mini,
WS2812B,D1004,LED_WS2812B_edited,
WS2812B,D1104,WS2812-mini,
Conn_02x03_Odd_Even,J404,2x03_P1.27mm_conn,
WS2812B,D1098,WS2812-mini,
MountingHole,H1005,MountingHole_3.2mm_M3,
WS2812B,D1049,LED_WS2812B_edited,
WS2812B,D1039,LED_WS2812B_edited,
WS2812B,D1018,LED_WS2812B_edited,
WS2812B,D1015,LED_WS2812B_edited,
WS2812B,D1034,LED_WS2812B_edited,
MountingHole,H1001,MountingHole_3.2mm_M3,
WS2812B,D1005,LED_WS2812B_edited,
WS2812B,D1093,LED_WS2812B_edited,
WS2812B,D1011,LED_WS2812B_edited,
WS2812B,D1096,LED_WS2812B_edited,
WS2812B,D1099,WS2812-mini,
WS2812B,D1088,LED_WS2812B_edited,
WS2812B,D1013,LED_WS2812B_edited,
WS2812B,D1083,LED_WS2812B_edited,
WS2812B,D1014,LED_WS2812B_edited,
WS2812B,D1063,LED_WS2812B_edited,
WS2812B,D1076,LED_WS2812B_edited,
WS2812B,D1003,LED_WS2812B_edited,
WS2812B,D1077,LED_WS2812B_edited,
WS2812B,D1054,LED_WS2812B_edited,
WS2812B,D1084,LED_WS2812B_edited,
MountingHole,H1004,MountingHole_3.2mm_M3,
WS2812B,D1058,LED_WS2812B_edited,
WS2812B,D1064,LED_WS2812B_edited,
WS2812B,D1053,LED_WS2812B_edited,
WS2812B,D1023,LED_WS2812B_edited,
WS2812B,D1044,LED_WS2812B_edited,
WS2812B,D1006,LED_WS2812B_edited,
WS2812B,D1042,LED_WS2812B_edited,
WS2812B,D1026,LED_WS2812B_edited,
WS2812B,D1092,LED_WS2812B_edited,
WS2812B,D1007,LED_WS2812B_edited,
WS2812B,D1078,LED_WS2812B_edited,
MountingHole,H1006,MountingHole_3.2mm_M3,
WS2812B,D1075,LED_WS2812B_edited,
WS2812B,D1025,LED_WS2812B_edited,
WS2812B,D1071,LED_WS2812B_edited,
MountingHole,H1003,MountingHole_3.2mm_M3,
WS2812B,D1050,LED_WS2812B_edited,
WS2812B,D1082,LED_WS2812B_edited,
WS2812B,D1019,LED_WS2812B_edited,
WS2812B,D1059,LED_WS2812B_edited,
