Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT301,Battery_Cell,battery_103565_3000mah,183.899,-91.75,180.0,bottom
C201,100n,C_0603_1608Metric,103.0,-129.4,0.0,bottom
C202,100n,C_0603_1608Metric,95.825,-122.75,0.0,bottom
C203,10u,CP_EIA-3528-21_Kemet-B,95.8475,-120.0,0.0,bottom
C204,100n,C_0603_1608Metric,90.0,-128.47,0.0,bottom
C301,10u,CP_EIA-3528-21_Kemet-B,185.5,-140.2955,-90.0,bottom
C302,10u,C_0805_2012Metric,182.65,-140.55,-90.0,bottom
C303,10u,C_0805_2012Metric,180.75,-144.75,0.0,bottom
C304,10u,C_0805_2012Metric,179.5,-134.25,0.0,bottom
C401,100n,C_0603_1608Metric,97.435,-105.1475,180.0,bottom
C501,100n,C_0603_1608Metric,144.225,-113.75,180.0,bottom
C504,1u,C_0603_1608Metric,127.0,-116.5,0.0,bottom
C601,22u / 16V,C_1210_3225Metric,132.5,-143.75,-90.0,bottom
C602,22u / 16V,C_1210_3225Metric,150.5,-143.75,90.0,bottom
C1001,100n,C_0603_1608Metric,139.45,-80.8,90.0,bottom
C1002,100n,C_0603_1608Metric,145.64,-80.8,90.0,bottom
C1003,100n,C_0603_1608Metric,150.2,-82.4,0.0,bottom
C1004,100n,C_0603_1608Metric,148.55,-87.0,-90.0,bottom
C1005,100n,C_0603_1608Metric,150.2,-94.8,0.0,bottom
C1006,100n,C_0603_1608Metric,142.36,-93.2,-90.0,bottom
C1007,100n,C_0603_1608Metric,136.17,-93.2,-90.0,bottom
C1008,100n,C_0603_1608Metric,139.4,-87.0,90.0,bottom
C1009,100n,C_0603_1608Metric,144.0,-88.6,0.0,bottom
D601,SS12,D_SMA,144.25,-150.0,180.0,bottom
D1001,WS2812B,LED_WS2812B_edited,125.42,-87.0,-90.0,top
D1002,WS2812B,LED_WS2812B_edited,114.63,-81.32,-90.0,top
D1003,WS2812B,LED_WS2812B_edited,102.91,-73.69,-90.0,top
D1004,WS2812B,LED_WS2812B_edited,91.91,-64.17,-90.0,top
D1005,WS2812B,LED_WS2812B_edited,83.38,-53.14,-90.0,top
D1006,WS2812B,LED_WS2812B_edited,79.0,-41.43,-90.0,top
D1007,WS2812B,LED_WS2812B_edited,80.14,-30.6,180.0,top
D1008,WS2812B,LED_WS2812B_edited,87.66,-23.12,180.0,top
D1009,WS2812B,LED_WS2812B_edited,98.5,-22.0,180.0,top
D1010,WS2812B,LED_WS2812B_edited,110.23,-26.44,90.0,top
D1011,WS2812B,LED_WS2812B_edited,121.27,-34.91,90.0,top
D1012,WS2812B,LED_WS2812B_edited,130.79,-46.04,90.0,top
D1013,WS2812B,LED_WS2812B_edited,138.42,-57.79,90.0,top
D1014,WS2812B,LED_WS2812B_edited,144.0,-68.42,180.0,top
D1015,WS2812B,LED_WS2812B_edited,149.68,-57.63,-90.0,top
D1016,WS2812B,LED_WS2812B_edited,157.31,-45.91,180.0,top
D1017,WS2812B,LED_WS2812B_edited,166.83,-34.91,180.0,top
D1018,WS2812B,LED_WS2812B_edited,177.86,-26.38,180.0,top
D1019,WS2812B,LED_WS2812B_edited,189.57,-22.0,180.0,top
D1020,WS2812B,LED_WS2812B_edited,200.4,-23.14,90.0,top
D1021,WS2812B,LED_WS2812B_edited,207.88,-30.66,90.0,top
D1022,WS2812B,LED_WS2812B_edited,208.99,-41.51,90.0,top
D1023,WS2812B,LED_WS2812B_edited,204.56,-53.23,0.0,top
D1024,WS2812B,LED_WS2812B_edited,196.09,-64.27,0.0,top
D1025,WS2812B,LED_WS2812B_edited,184.96,-73.79,0.0,top
D1026,WS2812B,LED_WS2812B_edited,173.21,-81.42,0.0,top
D1027,WS2812B,LED_WS2812B_edited,162.58,-87.0,90.0,top
D1028,WS2812B,LED_WS2812B_edited,173.37,-92.68,90.0,top
D1029,WS2812B,LED_WS2812B_edited,185.09,-100.31,90.0,top
D1030,WS2812B,LED_WS2812B_edited,196.09,-109.83,90.0,top
D1031,WS2812B,LED_WS2812B_edited,204.62,-120.86,90.0,top
D1032,WS2812B,LED_WS2812B_edited,209.0,-132.57,90.0,top
D1033,WS2812B,LED_WS2812B_edited,207.86,-143.4,0.0,top
D1034,WS2812B,LED_WS2812B_edited,200.34,-150.88,0.0,top
D1035,WS2812B,LED_WS2812B_edited,189.49,-151.99,-90.0,top
D1036,WS2812B,LED_WS2812B_edited,177.77,-147.5,-90.0,top
D1037,WS2812B,LED_WS2812B_edited,166.73,-139.0,-90.0,top
D1038,WS2812B,LED_WS2812B_edited,157.21,-127.96,-90.0,top
D1039,WS2812B,LED_WS2812B_edited,149.58,-116.21,-90.0,top
D1040,WS2812B,LED_WS2812B_edited,144.0,-105.58,0.0,top
D1041,WS2812B,LED_WS2812B_edited,138.32,-116.37,0.0,top
D1042,WS2812B,LED_WS2812B_edited,130.69,-128.09,0.0,top
D1043,WS2812B,LED_WS2812B_edited,121.17,-139.0,0.0,top
D1044,WS2812B,LED_WS2812B_edited,110.14,-147.62,0.0,top
D1045,WS2812B,LED_WS2812B_edited,98.43,-152.0,0.0,top
D1046,WS2812B,LED_WS2812B_edited,87.6,-150.86,-90.0,top
D1047,WS2812B,LED_WS2812B_edited,80.12,-143.34,-90.0,top
D1048,WS2812B,LED_WS2812B_edited,79.0,-132.49,180.0,top
D1049,WS2812B,LED_WS2812B_edited,83.44,-120.77,180.0,top
D1050,WS2812B,LED_WS2812B_edited,91.91,-109.73,180.0,top
D1051,WS2812B,LED_WS2812B_edited,103.04,-100.21,180.0,top
D1052,WS2812B,LED_WS2812B_edited,114.79,-92.58,-90.0,top
D1053,WS2812B,LED_WS2812B_edited,102.88,-87.0,-90.0,top
D1054,WS2812B,LED_WS2812B_edited,91.91,-76.03,0.0,top
D1055,WS2812B,LED_WS2812B_edited,91.91,-87.0,90.0,top
D1056,WS2812B,LED_WS2812B_edited,91.91,-97.97,0.0,top
D1057,WS2812B,LED_WS2812B_edited,144.0,-45.88,180.0,top
D1058,WS2812B,LED_WS2812B_edited,154.97,-34.91,-90.0,top
D1059,WS2812B,LED_WS2812B_edited,144.0,-34.91,0.0,top
D1060,WS2812B,LED_WS2812B_edited,133.03,-34.91,-90.0,top
D1061,WS2812B,LED_WS2812B_edited,185.12,-87.0,90.0,top
D1062,WS2812B,LED_WS2812B_edited,196.09,-97.97,180.0,top
D1063,WS2812B,LED_WS2812B_edited,196.09,-87.0,-90.0,top
D1064,WS2812B,LED_WS2812B_edited,196.09,-76.0,180.0,top
D1065,WS2812B,LED_WS2812B_edited,144.0,-128.12,0.0,top
D1066,WS2812B,LED_WS2812B_edited,133.0,-139.0,90.0,top
D1067,WS2812B,LED_WS2812B_edited,144.0,-139.0,180.0,top
D1068,WS2812B,LED_WS2812B_edited,154.97,-139.0,90.0,top
D1069,WS2812B,LED_WS2812B_edited,119.23,-62.23,-90.0,top
D1070,WS2812B,LED_WS2812B_edited,111.8,-54.8,-90.0,top
D1071,WS2812B,LED_WS2812B_edited,104.37,-47.37,-90.0,top
D1072,WS2812B,LED_WS2812B_edited,96.94,-39.94,-90.0,top
