Designator,Footprint,Quantity,Value,LCSC Part #
BT301,battery_103565_3000mah,1,Battery_Cell,-
"C1001, C1002, C1003, C1004, C1005, C1006, C1007, C1008, C1009, C201, C202, C204, C401, C501",0603,14,100n,C113803
C203,CP_EIA-3528-21_Kemet-B,1,10u,C2798040
C301,CP_EIA-3528-21_Kemet-B,1,4u7/25V,C2798040
"C302, C303, C304",0805,3,10u,C237493
C502,CP_EIA-7343-31_Kemet-D,1,1500uF,
"C601, C602",1210,2,22u / 16V,C337451
"D1001, D1002, D1003, D1004, D1005, D1006, D1007, D1008, D1009, D1010, D1011, D1012, D1013, D1014, D1015, D1016, D1017, D1018, D1019, D1020, D1021, D1022, D1023, D1024, D1025, D1026, D1027, D1028, D1029, D1030, D1031, D1032, D1033, D1034, D1035, D1036, D1037, D1038, D1039, D1040, D1041, D1042, D1043, D1044, D1045, D1046, D1047, D1048, D1049, D1050, D1051, D1052, D1053, D1054, D1055, D1056, D1057, D1058, D1059, D1060, D1061, D1062, D1063, D1064, D1065, D1066, D1067, D1068, D1069, D1070, D1071, D1072, D1073, D1074, D1075, D1076, D1077, D1078, D1079, D1080, D1081, D1082, D1083, D1084, D1085, D1086, D1087, D1088, D1089, D1090, D1091, D1092, D1093, D1094, D1095, D1096",LED_WS2812B_edited,96,WS2812B,-
"D1097, D1098, D1099, D1100, D1101, D1102, D1103, D1104, D1105",WS2812-mini,9,WS2812B,C527089
D1106,WS2812-mini,1,WS2812B,-
"D501, D601",D_SMA,2,SS12,C2985002
FB201,0603,1,100 @ 100MHz,C107332
"H1001, H1002, H1003, H1004, H1005, H1006, H1007, H1008",MountingHole_3.2mm_M3,8,MountingHole,
J201,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,-
"J301, J302",PinHeader_1x01,2,Conn_01x01,-
"J401, J402, J403, J404",2x03_P1.27mm_conn,4,Conn_02x03_Odd_Even,-
"J405, J406, J407, J408",PinHeader_1x02_P1.27mm_Vertical,4,Conn_01x02_Female,
J501,PinHeader_2x03_P1.27mm_Vertical_SMD,1,USBasp,-
L601,Inductor_4mm(5x5mm pads),1,4R7,
LS501,KLJ-1102,1,Buzzer,
"R1001, R1002, R1003, R1004, R1005, R1006",0603,6,470R,
"R201, R204",0603,2,1k,
"R202, R203",0603,2,5k1,C3017721
"R301, R303, R307, R308, R310, R501",0603,6,10k,
R302,0603,1,2k,C25590
"R305, R601",0603,2,100k,
"R401, R402",0603,2,4k7,C114662
R602,0603,1,13k3,C185373
SW501,SW_SPST_TL3342,1,SW_Push,C2886894
U201,SOT-23-6,1,USBLC6-2SC6,C3029034
U202,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U301,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP73871-2CC,
U401,SOIC-24W_7.5x15.4mm_P1.27mm,1,PCF8575,
U501,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U601,SOT-23-6,1,MT3608,C2932326
Y501,CSTCE16M0V53-R0,1,16MHz,C32180
