Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,"Unpolarized capacitor, small symbol",C_Small,C1,100n,C_0603_1608Metric,1,~
2,"Unpolarized capacitor, small symbol",C_Small,C2,0-50 pF,C_0603_1608Metric,1,~
3,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Male,J1 J2 J3 J4,Conn_01x02_Male,PinHeader_1x02_P1.27mm_Vertical_SMD_Pin1Left,4,~
4,,TTP223-BA6,U1,TTP223-BA6,SOT-23-6,1,





Component Groups:,4
Component Count:,7
Fitted Components:,7
Number of PCBs:,1
Total components:,7
Schematic Version:,
Schematic Date:,
PCB Variant:,default
BoM Date:,10.1.2023. 13:12:25
Schematic Source:,Dice.kicad_sch
KiCad Version:,Eeschema (6.0.10)
